ID,neg,neu,pos,compound,GPE
6903,0.0,1.0,0.0,0.0,Tehran
6903,0.0,1.0,0.0,0.0,USA
7385,0.0,0.756,0.244,0.4404,UK
7385,0.0,0.756,0.244,0.4404,Russia
7540,0.0,1.0,0.0,0.0,Detroit
6763,0.2,0.8,0.0,-0.3612,Russia
6763,0.2,0.8,0.0,-0.3612,USA
9398,0.0,0.898,0.102,0.1511,Russia
10427,0.0,0.701,0.299,0.5719,Russia
10427,0.0,0.701,0.299,0.5719,US
7099,0.0,1.0,0.0,0.0,New Eastern Outlook
8122,0.489,0.511,0.0,-0.7717,Iowa
7228,0.351,0.649,0.0,-0.4019,Russia
7474,0.087,0.752,0.162,0.3167,Britain
8210,0.378,0.488,0.134,-0.4588,Syria
5297,0.0,1.0,0.0,0.0,Russia
9134,0.0,0.673,0.327,0.5267,Washington DC
9948,0.0,1.0,0.0,0.0,Mosul
8767,0.283,0.641,0.076,-0.7964,Syria
10048,0.0,1.0,0.0,0.0,US
10048,0.0,1.0,0.0,0.0,EU
10048,0.0,1.0,0.0,0.0,China
10183,0.359,0.641,0.0,-0.6808,America
9953,0.0,0.667,0.333,0.128,Islamabad
9044,0.0,0.826,0.174,0.2732,North Carolina
6203,0.343,0.657,0.0,-0.6908,Russia
6850,0.354,0.442,0.204,-0.1779,America
9508,0.0,0.625,0.375,0.3818,Russia
10246,0.0,1.0,0.0,0.0,Iraq
5926,0.0,1.0,0.0,0.0,USA
9340,0.212,0.481,0.308,0.25,Russia
6135,0.157,0.843,0.0,-0.5994,U.S.
6135,0.157,0.843,0.0,-0.5994,Iran
7006,0.233,0.727,0.04,-0.743,Vagina
6918,0.266,0.734,0.0,-0.6908,Israel
9645,0.0,0.79,0.21,0.7494,UK
9645,0.0,0.79,0.21,0.7494,UK
9251,0.0,1.0,0.0,0.0,US
6170,0.244,0.756,0.0,-0.5499,America
10314,0.583,0.417,0.0,-0.7906,Wrong Direction
9648,0.0,0.917,0.083,0.25,LA
9648,0.0,0.917,0.083,0.25,Philly
9648,0.0,0.917,0.083,0.25,Portland
10548,0.376,0.485,0.139,-0.5994,Hollywood
7529,0.0,1.0,0.0,0.0,Mosul
8353,0.0,0.8,0.2,0.25,Oregon
7863,0.431,0.569,0.0,-0.6486,Washington
9618,0.4,0.6,0.0,-0.4588,US
9618,0.4,0.6,0.0,-0.4588,Russia
9738,0.516,0.484,0.0,-0.8225,Alabama
7410,0.211,0.789,0.0,-0.34,Texas
5551,0.356,0.532,0.112,-0.6798,Syria
5551,0.356,0.532,0.112,-0.6798,Russia
8648,0.28,0.72,0.0,-0.5423,U.S.
7938,0.0,0.902,0.098,0.0772,Maryland
7938,0.0,0.902,0.098,0.0772,Undemocratic
6865,0.0,1.0,0.0,0.0,Fulfilling
9785,0.0,1.0,0.0,0.0,Israel
5485,0.439,0.561,0.0,-0.5719,Ukraine
10300,0.0,1.0,0.0,0.0,India
5760,0.0,0.867,0.133,0.3182,Russia
5760,0.0,0.867,0.133,0.3182,India
9302,0.333,0.667,0.0,-0.5423,Syria
5826,0.0,1.0,0.0,0.0,Calais
5826,0.0,1.0,0.0,0.0,France
10056,0.0,0.804,0.196,0.296,Montenegro
9835,0.574,0.426,0.0,-0.7964,US
9835,0.574,0.426,0.0,-0.7964,India
6787,0.0,1.0,0.0,0.0,US
6752,0.391,0.447,0.162,-0.6249,Turkey
6752,0.391,0.447,0.162,-0.6249,Russia
9514,0.333,0.667,0.0,-0.5423,US
9514,0.333,0.667,0.0,-0.5423,Mosul
9613,0.0,1.0,0.0,0.0,Mosul
5728,0.104,0.896,0.0,-0.1027,US
8421,0.28,0.72,0.0,-0.7906,Homs Province
8421,0.28,0.72,0.0,-0.7906,The Vineyard of the
9381,0.209,0.791,0.0,-0.6705,Orlando
6474,0.187,0.813,0.0,-0.3182,Palestine
7038,0.273,0.727,0.0,-0.4588,US
7038,0.273,0.727,0.0,-0.4588,Afghanistan
6728,0.153,0.675,0.172,0.0772,The United States
6090,0.184,0.816,0.0,-0.4019,Russia
6210,0.0,1.0,0.0,0.0,Florida
9913,0.0,0.855,0.145,0.296,New Eastern Outlook
8389,0.0,1.0,0.0,0.0,U.S.
8326,0.0,0.781,0.219,0.4215,the United States of America
7114,0.0,1.0,0.0,0.0,Turkey
7090,0.562,0.438,0.0,-0.8271,Australia
7305,0.0,0.828,0.172,0.4019,Blogs
7425,0.236,0.764,0.0,-0.7579,Oklahoma
6880,0.0,0.828,0.172,0.5766,PARIS
6830,0.0,0.803,0.197,0.2411,US
6830,0.0,0.803,0.197,0.2411,Russia
