ID,neg,neu,pos,compound,GPE
3608,0.0,0.762,0.238,0.3612,Paris
95,0.0,1.0,0.0,0.0,Britain
2909,0.0,1.0,0.0,0.0,Iran
1357,0.13,0.87,0.0,-0.34,Iowa
3304,0.209,0.791,0.0,-0.2755,Iran
3078,0.0,1.0,0.0,0.0,America
755,0.0,1.0,0.0,0.0,W. Va.
2777,0.13,0.87,0.0,-0.128,Afghanistan
3648,0.141,0.759,0.1,-0.1546,Orlando
1178,0.336,0.664,0.0,-0.7964,South Carolina
143,0.0,0.769,0.231,0.6369,Selma
143,0.0,0.769,0.231,0.6369,America
2832,0.273,0.435,0.292,0.0772,Iraq
3512,0.429,0.571,0.0,-0.6705,Belgium
2546,0.0,0.775,0.225,0.2584,San Francisco
2232,0.427,0.573,0.0,-0.7717,US
1700,0.0,1.0,0.0,0.0,Rubio
1700,0.0,1.0,0.0,0.0,Kasich
2199,0.0,1.0,0.0,0.0,Syria
4943,0.0,0.725,0.275,0.5859,US
3004,0.0,1.0,0.0,0.0,Iran
3138,0.171,0.44,0.389,0.6096,US
2850,0.0,0.847,0.153,0.2023,Iran
3700,0.0,0.732,0.268,0.296,Charleston
2305,0.187,0.813,0.0,-0.3182,Connecticut
3008,0.0,1.0,0.0,0.0,Iran
599,0.289,0.711,0.0,-0.4714,Ohio
2834,0.0,1.0,0.0,0.0,Iraq
2834,0.0,1.0,0.0,0.0,Anbar
2916,0.273,0.727,0.0,-0.128,Iran
4865,0.0,1.0,0.0,0.0,US
2586,0.0,0.803,0.197,0.4019,Israel
2586,0.0,0.803,0.197,0.4019,US
4045,0.0,0.878,0.122,0.2023,America
4045,0.0,0.878,0.122,0.2023,Russia
4045,0.0,0.878,0.122,0.2023,US
4045,0.0,0.878,0.122,0.2023,America
71,0.27,0.73,0.0,-0.5719,LGBT
4701,0.0,0.909,0.091,0.0258,New Responses
4929,0.0,1.0,0.0,0.0,Mexico
2812,0.0,1.0,0.0,0.0,Iran
1109,0.649,0.351,0.0,-0.8126,Chicago
3592,0.0,0.723,0.277,0.5574,France
3326,0.53,0.47,0.0,-0.7845,South Africa
2968,0.535,0.465,0.0,-0.3182,Iraq
1284,0.0,0.69,0.31,0.3818,Iowa
1284,0.0,0.69,0.31,0.3818,New Hampshire
