ID,neg,neu,pos,compound,GPE
6903,0.0,0.762,0.238,0.3612,Tehran
6903,0.0,0.762,0.238,0.3612,USA
7385,0.0,0.762,0.238,0.3612,UK
7385,0.0,0.762,0.238,0.3612,Russia
9016,0.0,0.762,0.238,0.3612,Empire
7540,0.0,0.762,0.238,0.3612,Detroit
7049,0.0,0.762,0.238,0.3612,US
6763,0.0,0.762,0.238,0.3612,Russia
6763,0.0,0.762,0.238,0.3612,USA
9398,0.0,0.762,0.238,0.3612,Russia
9398,0.0,0.762,0.238,0.3612,Hacking
10427,0.0,0.762,0.238,0.3612,Russia
10427,0.0,0.762,0.238,0.3612,US
8122,0.0,0.762,0.238,0.3612,Iowa
9468,0.0,0.762,0.238,0.3612,Maryland
6527,0.0,0.762,0.238,0.3612,Iraq
9447,0.0,0.762,0.238,0.3612,U.S.
7474,0.0,0.762,0.238,0.3612,Britain
8210,0.0,0.762,0.238,0.3612,Syria
8549,0.0,0.762,0.238,0.3612,Mercy
6035,0.0,0.762,0.238,0.3612,UKIP
6035,0.0,0.762,0.238,0.3612,Strasbourg
9948,0.0,0.762,0.238,0.3612,US
9948,0.0,0.762,0.238,0.3612,Mosul
8767,0.0,0.762,0.238,0.3612,Syria
10048,0.0,0.762,0.238,0.3612,US
10048,0.0,0.762,0.238,0.3612,China
10183,0.0,0.762,0.238,0.3612,America
9953,0.0,0.762,0.238,0.3612,Islamabad
9044,0.0,0.762,0.238,0.3612,North Carolina
6203,0.0,0.762,0.238,0.3612,Russia
6850,0.0,0.762,0.238,0.3612,America
9508,0.0,0.762,0.238,0.3612,Russia
5926,0.0,0.762,0.238,0.3612,USA
5926,0.0,0.762,0.238,0.3612,Banana Republic
9340,0.0,0.762,0.238,0.3612,Russia
6135,0.0,0.762,0.238,0.3612,U.S.
6135,0.0,0.762,0.238,0.3612,Iran
7006,0.0,0.762,0.238,0.3612,Vagina
6918,0.0,0.762,0.238,0.3612,Israel
9251,0.0,0.762,0.238,0.3612,US
6170,0.0,0.762,0.238,0.3612,America
9648,0.0,0.762,0.238,0.3612,LA
9648,0.0,0.762,0.238,0.3612,Philly
9648,0.0,0.762,0.238,0.3612,Portland
9437,0.0,0.762,0.238,0.3612,Coconut Creek
7529,0.0,0.762,0.238,0.3612,Mosul
8353,0.0,0.762,0.238,0.3612,Oregon
7863,0.0,0.762,0.238,0.3612,Washington
9618,0.0,0.762,0.238,0.3612,Russia
7589,0.0,0.762,0.238,0.3612,Taoiseach
9738,0.0,0.762,0.238,0.3612,Alabama
7410,0.0,0.762,0.238,0.3612,Texas
5551,0.0,0.762,0.238,0.3612,Syria
5551,0.0,0.762,0.238,0.3612,Russia
8648,0.0,0.762,0.238,0.3612,U.S.
7938,0.0,0.762,0.238,0.3612,US
7938,0.0,0.762,0.238,0.3612,Maryland
9785,0.0,0.762,0.238,0.3612,Israel
10300,0.0,0.762,0.238,0.3612,India
5760,0.0,0.762,0.238,0.3612,Russia
5760,0.0,0.762,0.238,0.3612,India
9302,0.0,0.762,0.238,0.3612,Syria
5826,0.0,0.762,0.238,0.3612,Calais
5826,0.0,0.762,0.238,0.3612,France
10056,0.0,0.762,0.238,0.3612,Montenegro
9835,0.0,0.762,0.238,0.3612,US
9835,0.0,0.762,0.238,0.3612,India
6787,0.0,0.762,0.238,0.3612,US
6752,0.0,0.762,0.238,0.3612,Turkey
6752,0.0,0.762,0.238,0.3612,Russia
5401,0.0,0.762,0.238,0.3612,Kiev
9514,0.0,0.762,0.238,0.3612,US
8421,0.0,0.762,0.238,0.3612,Homs Province
8651,0.0,0.762,0.238,0.3612,Amurexit
9381,0.0,0.762,0.238,0.3612,Orlando
6474,0.0,0.762,0.238,0.3612,Palestine
7038,0.0,0.762,0.238,0.3612,US
7038,0.0,0.762,0.238,0.3612,Afghanistan
6728,0.0,0.762,0.238,0.3612,The United States
6210,0.0,0.762,0.238,0.3612,Florida
8389,0.0,0.762,0.238,0.3612,U.S.
8326,0.0,0.762,0.238,0.3612,the United States of America
8505,0.0,0.762,0.238,0.3612,The Empire Files:
8505,0.0,0.762,0.238,0.3612,Palestine
7305,0.0,0.762,0.238,0.3612,Blogs
7425,0.0,0.762,0.238,0.3612,Oklahoma
6880,0.0,0.762,0.238,0.3612,PARIS
6830,0.0,0.762,0.238,0.3612,US
6830,0.0,0.762,0.238,0.3612,Russia
10439,0.0,0.762,0.238,0.3612,U.S.
7304,0.0,0.762,0.238,0.3612,Finland
8938,0.0,0.762,0.238,0.3612,Canada
6600,0.0,0.762,0.238,0.3612,U.S.
10113,0.0,0.762,0.238,0.3612,Presidential City
9293,0.0,0.762,0.238,0.3612,Alaska
5547,0.0,0.762,0.238,0.3612,Quebec
5590,0.0,0.762,0.238,0.3612,US
5502,0.0,0.762,0.238,0.3612,US
9428,0.0,0.762,0.238,0.3612,Media
9303,0.0,0.762,0.238,0.3612,Wisconsin
7375,0.0,0.762,0.238,0.3612,Italy
7375,0.0,0.762,0.238,0.3612,Rome
7014,0.0,0.762,0.238,0.3612,Sledgehammer
10304,0.0,0.762,0.238,0.3612,North Carolina
7670,0.0,0.762,0.238,0.3612,US
10462,0.0,0.762,0.238,0.3612,US
9463,0.0,0.762,0.238,0.3612,Pakistan
9463,0.0,0.762,0.238,0.3612,India
7210,0.0,0.762,0.238,0.3612,The United States of America
6167,0.0,0.762,0.238,0.3612,South Korea - NCI
9019,0.0,0.762,0.238,0.3612,Hollywood
9232,0.0,0.762,0.238,0.3612,Syria
7345,0.0,0.762,0.238,0.3612,Moscow
5408,0.0,0.762,0.238,0.3612,Texas
5606,0.0,0.762,0.238,0.3612,Suburbs
5753,0.0,0.762,0.238,0.3612,Florida
7258,0.0,0.762,0.238,0.3612,U.S.
7258,0.0,0.762,0.238,0.3612,Hidden
6722,0.0,0.762,0.238,0.3612,Colombia
5674,0.0,0.762,0.238,0.3612,France
8773,0.0,0.762,0.238,0.3612,US
8640,0.0,0.762,0.238,0.3612,Mosul
8527,0.0,0.762,0.238,0.3612,the United States
5513,0.0,0.762,0.238,0.3612,US
7015,0.0,0.762,0.238,0.3612,Saudi Arabia
10101,0.0,0.762,0.238,0.3612,US
10101,0.0,0.762,0.238,0.3612,Maryland
10101,0.0,0.762,0.238,0.3612,Undemocratic
7221,0.0,0.762,0.238,0.3612,Turkey
7794,0.0,0.762,0.238,0.3612,Oregon
9280,0.0,0.762,0.238,0.3612,US
9280,0.0,0.762,0.238,0.3612,Norway
6887,0.0,0.762,0.238,0.3612,Russia
10036,0.0,0.762,0.238,0.3612,Syria
8596,0.0,0.762,0.238,0.3612,China
8596,0.0,0.762,0.238,0.3612,Russia
5908,0.0,0.762,0.238,0.3612,Berkeley
5755,0.0,0.762,0.238,0.3612,France
5420,0.0,0.762,0.238,0.3612,US
7859,0.0,0.762,0.238,0.3612,US
10549,0.0,0.762,0.238,0.3612,France
8997,0.0,0.762,0.238,0.3612,Yemen
5560,0.0,0.762,0.238,0.3612,U.S.
5560,0.0,0.762,0.238,0.3612,U.S.
5503,0.0,0.762,0.238,0.3612,US
10144,0.0,0.762,0.238,0.3612,The United States
6178,0.0,0.762,0.238,0.3612,US
8736,0.0,0.762,0.238,0.3612,Malaysia
8736,0.0,0.762,0.238,0.3612,China
8736,0.0,0.762,0.238,0.3612,US
9698,0.0,0.762,0.238,0.3612,Michigan
9497,0.0,0.762,0.238,0.3612,Warsaw
9497,0.0,0.762,0.238,0.3612,London
5888,0.0,0.762,0.238,0.3612,U.S.
10024,0.0,0.762,0.238,0.3612,Russia
10024,0.0,0.762,0.238,0.3612,Tokyo
5649,0.0,0.762,0.238,0.3612,New York
9005,0.0,0.762,0.238,0.3612,Kiev
9227,0.0,0.762,0.238,0.3612,Pakistan
9227,0.0,0.762,0.238,0.3612,Balochistan
9261,0.0,0.762,0.238,0.3612,United States
9335,0.0,0.762,0.238,0.3612,Saudi Arabia
9899,0.0,0.762,0.238,0.3612,Obama
8391,0.0,0.762,0.238,0.3612,North Korea
8391,0.0,0.762,0.238,0.3612,Israel
10429,0.0,0.762,0.238,0.3612,US
10429,0.0,0.762,0.238,0.3612,Russia
5604,0.0,0.762,0.238,0.3612,Palestine
8830,0.0,0.762,0.238,0.3612,Philippines
8830,0.0,0.762,0.238,0.3612,Russia
8830,0.0,0.762,0.238,0.3612,China
7998,0.0,0.762,0.238,0.3612,California
9166,0.0,0.762,0.238,0.3612,Russia
9166,0.0,0.762,0.238,0.3612,Syria
9211,0.0,0.762,0.238,0.3612,Turkey
8398,0.0,0.762,0.238,0.3612,Russia
8496,0.0,0.762,0.238,0.3612,America
8369,0.0,0.762,0.238,0.3612,Agree
9633,0.0,0.762,0.238,0.3612,Ukraine
7636,0.0,0.762,0.238,0.3612,U.S.
5581,0.0,0.762,0.238,0.3612,US
8999,0.0,0.762,0.238,0.3612,America
8999,0.0,0.762,0.238,0.3612,Florida
8999,0.0,0.762,0.238,0.3612,US
10128,0.0,0.762,0.238,0.3612,Tennessee
7268,0.0,0.762,0.238,0.3612,US
7268,0.0,0.762,0.238,0.3612,DC
9617,0.0,0.762,0.238,0.3612,Russia
9617,0.0,0.762,0.238,0.3612,Kuznetsov
6479,0.0,0.762,0.238,0.3612,Seattle
6333,0.0,0.762,0.238,0.3612,California
6499,0.0,0.762,0.238,0.3612,VOTE HILLARY
5289,0.0,0.762,0.238,0.3612,United States
8345,0.0,0.762,0.238,0.3612,Aliens
5280,0.0,0.762,0.238,0.3612,Obama
5280,0.0,0.762,0.238,0.3612,Iran
5614,0.0,0.762,0.238,0.3612,D.C.
9826,0.0,0.762,0.238,0.3612,Australia
7559,0.0,0.762,0.238,0.3612,GEORGIA
7829,0.0,0.762,0.238,0.3612,Saudi Arabia Re-Elected
7829,0.0,0.762,0.238,0.3612,Russia
5522,0.0,0.762,0.238,0.3612,Mosul
5522,0.0,0.762,0.238,0.3612,US
7445,0.0,0.762,0.238,0.3612,Ethiopia
9038,0.0,0.762,0.238,0.3612,Russia
9038,0.0,0.762,0.238,0.3612,Syria
8817,0.0,0.762,0.238,0.3612,US
9494,0.0,0.762,0.238,0.3612,Venezuela
8085,0.0,0.762,0.238,0.3612,Obama
10507,0.0,0.762,0.238,0.3612,Leaked
8886,0.0,0.762,0.238,0.3612,America
8235,0.0,0.762,0.238,0.3612,Iran
7079,0.0,0.762,0.238,0.3612,Tsunami
7079,0.0,0.762,0.238,0.3612,New Zealand
9296,0.0,0.762,0.238,0.3612,US
9116,0.0,0.762,0.238,0.3612,Israel
5991,0.0,0.762,0.238,0.3612,Miami
7339,0.0,0.762,0.238,0.3612,Iran
7339,0.0,0.762,0.238,0.3612,Finland
7339,0.0,0.762,0.238,0.3612,Tehran
6833,0.0,0.762,0.238,0.3612,Rattles Rome
8215,0.0,0.762,0.238,0.3612,Pakistan
9153,0.0,0.762,0.238,0.3612,Standing Rock
9153,0.0,0.762,0.238,0.3612,North Dakota
10116,0.0,0.762,0.238,0.3612,Jerusalem
10116,0.0,0.762,0.238,0.3612,Israel
10116,0.0,0.762,0.238,0.3612,U.S.
7061,0.0,0.762,0.238,0.3612,U.S.
5876,0.0,0.762,0.238,0.3612,Stupid
9577,0.0,0.762,0.238,0.3612,FLORIDA
10546,0.0,0.762,0.238,0.3612,California
6211,0.0,0.762,0.238,0.3612,Jerusalem
6211,0.0,0.762,0.238,0.3612,Old City
8343,0.0,0.762,0.238,0.3612,India
9234,0.0,0.762,0.238,0.3612,Danger
7408,0.0,0.762,0.238,0.3612,Swansea City
9333,0.0,0.762,0.238,0.3612,America
5396,0.0,0.762,0.238,0.3612,U.S.
5752,0.0,0.762,0.238,0.3612,America
6673,0.0,0.762,0.238,0.3612,illuminati
7615,0.0,0.762,0.238,0.3612,North Carolina
8816,0.0,0.762,0.238,0.3612,Paris
7919,0.0,0.762,0.238,0.3612,U.S.
7919,0.0,0.762,0.238,0.3612,Syria
8149,0.0,0.762,0.238,0.3612,Britain
6718,0.0,0.762,0.238,0.3612,America
6094,0.0,0.762,0.238,0.3612,New York
5542,0.0,0.762,0.238,0.3612,Russia
5542,0.0,0.762,0.238,0.3612,France
10089,0.0,0.762,0.238,0.3612,Morocco
10089,0.0,0.762,0.238,0.3612,Spain
9143,0.0,0.762,0.238,0.3612,Israel
9143,0.0,0.762,0.238,0.3612,Israel
9126,0.0,0.762,0.238,0.3612,Mosul
5587,0.0,0.762,0.238,0.3612,California
6660,0.0,0.762,0.238,0.3612,Standing Rock
10107,0.0,0.762,0.238,0.3612,Jynxster
5948,0.0,0.762,0.238,0.3612,Russia
7674,0.0,0.762,0.238,0.3612,Paris
6192,0.0,0.762,0.238,0.3612,Germany
8691,0.0,0.762,0.238,0.3612,DC
10031,0.0,0.762,0.238,0.3612,Cleveland
