ID,neg,neu,pos,compound,GPE
3608,0.0,0.762,0.238,0.3612,Paris
875,0.0,0.762,0.238,0.3612,New York
2909,0.0,0.762,0.238,0.3612,Iran
1357,0.0,0.762,0.238,0.3612,Iowa
3304,0.0,0.762,0.238,0.3612,Iran
3078,0.0,0.762,0.238,0.3612,America
778,0.0,0.762,0.238,0.3612,Staten Island
755,0.0,0.762,0.238,0.3612,W. Va.
2777,0.0,0.762,0.238,0.3612,Afghanistan
3648,0.0,0.762,0.238,0.3612,Orlando
1178,0.0,0.762,0.238,0.3612,South Carolina
3854,0.0,0.762,0.238,0.3612,Obama
143,0.0,0.762,0.238,0.3612,Selma
143,0.0,0.762,0.238,0.3612,America
2832,0.0,0.762,0.238,0.3612,Obama
2832,0.0,0.762,0.238,0.3612,Iraq
3512,0.0,0.762,0.238,0.3612,Belgium
2546,0.0,0.762,0.238,0.3612,San Francisco
2596,0.0,0.762,0.238,0.3612,Israel
2232,0.0,0.762,0.238,0.3612,Obama
2232,0.0,0.762,0.238,0.3612,US
1700,0.0,0.762,0.238,0.3612,Kasich
2199,0.0,0.762,0.238,0.3612,Syria
4943,0.0,0.762,0.238,0.3612,US
3004,0.0,0.762,0.238,0.3612,Iran
2802,0.0,0.762,0.238,0.3612,Iran
3138,0.0,0.762,0.238,0.3612,US
2850,0.0,0.762,0.238,0.3612,Iran
3700,0.0,0.762,0.238,0.3612,Charleston
2305,0.0,0.762,0.238,0.3612,Connecticut
3008,0.0,0.762,0.238,0.3612,Iran
3282,0.0,0.762,0.238,0.3612,Obama
599,0.0,0.762,0.238,0.3612,Ohio
2834,0.0,0.762,0.238,0.3612,Iraq
2834,0.0,0.762,0.238,0.3612,Anbar
2916,0.0,0.762,0.238,0.3612,Iran
4865,0.0,0.762,0.238,0.3612,US
2586,0.0,0.762,0.238,0.3612,Israel
2586,0.0,0.762,0.238,0.3612,US
4045,0.0,0.762,0.238,0.3612,America
4045,0.0,0.762,0.238,0.3612,Russia
4045,0.0,0.762,0.238,0.3612,US
4045,0.0,0.762,0.238,0.3612,America
71,0.0,0.762,0.238,0.3612,LGBT
4701,0.0,0.762,0.238,0.3612,New Responses
4929,0.0,0.762,0.238,0.3612,Mexico
3382,0.0,0.762,0.238,0.3612,Iran
3382,0.0,0.762,0.238,0.3612,Nukes
2812,0.0,0.762,0.238,0.3612,Obama
2812,0.0,0.762,0.238,0.3612,Iran
1109,0.0,0.762,0.238,0.3612,Chicago
3592,0.0,0.762,0.238,0.3612,France
3852,0.0,0.762,0.238,0.3612,Obama
3326,0.0,0.762,0.238,0.3612,South Africa
2968,0.0,0.762,0.238,0.3612,Iraq
1284,0.0,0.762,0.238,0.3612,Iowa
1284,0.0,0.762,0.238,0.3612,New Hampshire
2840,0.0,0.762,0.238,0.3612,Iran
4107,0.0,0.762,0.238,0.3612,America
3851,0.0,0.762,0.238,0.3612,U.S.
334,0.0,0.762,0.238,0.3612,Vermont
5035,0.0,0.762,0.238,0.3612,Obama
1510,0.0,0.762,0.238,0.3612,Charleston
356,0.0,0.762,0.238,0.3612,Florida
4020,0.0,0.762,0.238,0.3612,Obama
4020,0.0,0.762,0.238,0.3612,Syria
2339,0.0,0.762,0.238,0.3612,Obama
1597,0.0,0.762,0.238,0.3612,New Hampshire
4261,0.0,0.762,0.238,0.3612,Iowa
2640,0.0,0.762,0.238,0.3612,Cleveland
800,0.0,0.762,0.238,0.3612,West Virginia
800,0.0,0.762,0.238,0.3612,Nebraska
3638,0.0,0.762,0.238,0.3612,US
3638,0.0,0.762,0.238,0.3612,Paris
2845,0.0,0.762,0.238,0.3612,Obama
2845,0.0,0.762,0.238,0.3612,Syria
317,0.0,0.762,0.238,0.3612,Illinois
3327,0.0,0.762,0.238,0.3612,Iran
751,0.0,0.762,0.238,0.3612,Kentucky
3664,0.0,0.762,0.238,0.3612,Florida
4359,0.0,0.762,0.238,0.3612,Paris
5237,0.0,0.762,0.238,0.3612,Putin
5237,0.0,0.762,0.238,0.3612,US
5060,0.0,0.762,0.238,0.3612,America
5060,0.0,0.762,0.238,0.3612,Obama
2822,0.0,0.762,0.238,0.3612,Iraq
2619,0.0,0.762,0.238,0.3612,Iran
2619,0.0,0.762,0.238,0.3612,Threat
2619,0.0,0.762,0.238,0.3612,Israel
2634,0.0,0.762,0.238,0.3612,Obama
4431,0.0,0.762,0.238,0.3612,Afghanistan
3,0.0,0.762,0.238,0.3612,DC
4561,0.0,0.762,0.238,0.3612,Hungary
479,0.0,0.762,0.238,0.3612,US
4246,0.0,0.762,0.238,0.3612,Flint
821,0.0,0.762,0.238,0.3612,Kasich
2497,0.0,0.762,0.238,0.3612,United States
2497,0.0,0.762,0.238,0.3612,Texas
3870,0.0,0.762,0.238,0.3612,Iran
3870,0.0,0.762,0.238,0.3612,Yemen
1115,0.0,0.762,0.238,0.3612,Chicago
2768,0.0,0.762,0.238,0.3612,Iran
109,0.0,0.762,0.238,0.3612,U.S.
3682,0.0,0.762,0.238,0.3612,Colorado
2139,0.0,0.762,0.238,0.3612,California
1297,0.0,0.762,0.238,0.3612,Kasich
4088,0.0,0.762,0.238,0.3612,Cuba
578,0.0,0.762,0.238,0.3612,Obama
2786,0.0,0.762,0.238,0.3612,Afghanistan
2786,0.0,0.762,0.238,0.3612,U.S.
324,0.0,0.762,0.238,0.3612,New York
4050,0.0,0.762,0.238,0.3612,US
4050,0.0,0.762,0.238,0.3612,Yemen
419,0.0,0.762,0.238,0.3612,Obama
3897,0.0,0.762,0.238,0.3612,Washington
3761,0.0,0.762,0.238,0.3612,Baltimore
126,0.0,0.762,0.238,0.3612,Oklahoma
1059,0.0,0.762,0.238,0.3612,D.C.
2211,0.0,0.762,0.238,0.3612,Iran
2211,0.0,0.762,0.238,0.3612,Obama
2211,0.0,0.762,0.238,0.3612,Israel
2086,0.0,0.762,0.238,0.3612,Paris
2624,0.0,0.762,0.238,0.3612,Iran
2624,0.0,0.762,0.238,0.3612,Israel
1066,0.0,0.762,0.238,0.3612,Brussels
3764,0.0,0.762,0.238,0.3612,Baltimore
4047,0.0,0.762,0.238,0.3612,Greece
4047,0.0,0.762,0.238,0.3612,Iran
5083,0.0,0.762,0.238,0.3612,Historic Speech
4027,0.0,0.762,0.238,0.3612,Obama
4027,0.0,0.762,0.238,0.3612,U.S.
3821,0.0,0.762,0.238,0.3612,Obama
3821,0.0,0.762,0.238,0.3612,Ethiopia
5236,0.0,0.762,0.238,0.3612,Kentucky
4052,0.0,0.762,0.238,0.3612,Jamaica
4052,0.0,0.762,0.238,0.3612,Obama
4052,0.0,0.762,0.238,0.3612,Cuba
5146,0.0,0.762,0.238,0.3612,Obama
4434,0.0,0.762,0.238,0.3612,Iran
1241,0.0,0.762,0.238,0.3612,Nevada
2905,0.0,0.762,0.238,0.3612,US
2905,0.0,0.762,0.238,0.3612,Iran
3666,0.0,0.762,0.238,0.3612,San Bernardino
2219,0.0,0.762,0.238,0.3612,Iran
2219,0.0,0.762,0.238,0.3612,Israel
3247,0.0,0.762,0.238,0.3612,Rand Paul
3247,0.0,0.762,0.238,0.3612,Cuba
2844,0.0,0.762,0.238,0.3612,Iraq
2844,0.0,0.762,0.238,0.3612,Obama
3622,0.0,0.762,0.238,0.3612,Paris
3622,0.0,0.762,0.238,0.3612,US
3736,0.0,0.762,0.238,0.3612,Baltimore
